id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
59,2909,1676,1797,56,84,1701.0,1842.75,0.9101735353469849,0.971873939037323,0,0,4032,3024
60,7647,2082,2869,61,154,2079.0,2976.75,0.9077739715576172,0.9582535624504089,0,0,4032,3024
61,21887,1826,1480,301,152,1953.0,1559.25,0.9058047533035278,0.9660605788230896,0,0,4032,3024
62,2576,3155,2478,57,90,3213.0,2504.25,0.9044865965843201,0.963456392288208,0,0,4032,3024
63,6274,2038,2693,69,114,2079.0,2787.75,0.8997082114219666,0.9636335372924805,0,0,4032,3024
64,3149,548,2692,45,83,567.0,2693.25,0.8996643424034119,0.9789506793022156,0,0,4032,3024
65,4903,2041,2802,54,105,2079.0,2882.25,0.8978798985481262,0.9674568176269531,0,0,4032,3024
66,4309,3532,2753,143,72,3591.0,2787.75,0.8944078087806702,0.9608646035194397,0,0,4032,3024
67,647,2695,2502,31,23,2709.0,2504.25,0.893334686756134,0.9892141819000244,0,0,4032,3024
68,6903,363,2468,88,131,441.0,2504.25,0.8908885717391968,0.9606813192367554,0,0,4032,3024
69,9989,1512,2308,228,60,1701.0,2315.25,0.8878101110458374,0.9725459218025208,0,0,4032,3024
70,16974,1305,2701,109,258,1323.0,2882.25,0.8857213854789734,0.9526494741439819,0,0,4032,3024
71,7942,1261,2897,136,126,1323.0,2976.75,0.8819721937179565,0.9545847177505493,0,0,4032,3024
